filename,width,height,class,xmin,ymin,xmax,ymax
C63AMG_1.jpg,635,343,C63AMG,65,36,604,309
C63AMG_10.jpg,391,292,C63AMG,31,85,316,271
C63AMG_11.jpg,632,306,C63AMG,65,84,577,255
C63AMG_12.jpg,637,274,C63AMG,64,65,610,251
C63AMG_14.jpg,634,354,C63AMG,154,24,471,248
C63AMG_15.jpg,637,353,C63AMG,106,22,625,243
C63AMG_16.jpg,637,305,C63AMG,70,67,599,287
C63AMG_17.jpg,636,303,C63AMG,24,32,608,219
C63AMG_18.jpg,633,356,C63AMG,91,18,533,315
C63AMG_19.jpg,635,351,C63AMG,30,30,506,248
C63AMG_2.jpg,598,325,C63AMG,16,9,586,253
C63AMG_20.jpg,634,306,C63AMG,87,51,521,294
C63AMG_21.jpg,640,426,C63AMG,2,41,633,391
C63AMG_22.jpg,636,312,C63AMG,18,27,629,216
C63AMG_23.jpg,636,307,C63AMG,60,54,571,304
C63AMG_24.jpg,637,306,C63AMG,29,62,594,306
C63AMG_26.jpg,637,303,C63AMG,61,57,557,303
C63AMG_27.jpg,634,363,C63AMG,107,38,494,335
C63AMG_28.jpg,636,393,C63AMG,12,32,602,291
C63AMG_29.jpg,634,431,C63AMG,20,135,614,322
C63AMG_3.jpg,636,341,C63AMG,20,21,549,240
C63AMG_30.jpg,637,281,C63AMG,30,50,607,281
C63AMG_31.jpg,635,351,C63AMG,11,53,624,303
C63AMG_32.jpg,637,349,C63AMG,15,53,625,302
C63AMG_33.jpg,636,354,C63AMG,4,59,636,283
C63AMG_34.jpg,640,480,C63AMG,32,150,634,446
C63AMG_36.jpg,636,309,C63AMG,96,60,569,294
C63AMG_37.jpg,633,356,C63AMG,15,31,577,248
C63AMG_38.jpg,635,351,C63AMG,34,34,621,330
C63AMG_39.jpg,634,354,C63AMG,18,28,607,244
C63AMG_4.jpg,637,366,C63AMG,20,29,637,357
C63AMG_40.jpg,637,306,C63AMG,54,79,600,262
C63AMG_41.jpg,636,425,C63AMG,18,140,616,330
C63AMG_42.jpg,630,317,C63AMG,26,56,625,265
C63AMG_43.jpg,633,306,C63AMG,143,76,484,294
C63AMG_45.jpg,634,266,C63AMG,150,68,479,266
C63AMG_46.jpg,636,283,C63AMG,38,41,597,271
C63AMG_47.jpg,640,426,C63AMG,53,37,594,392
C63AMG_48.jpg,637,243,C63AMG,16,9,624,234
C63AMG_49.jpg,607,333,C63AMG,6,8,606,333
C63AMG_5.jpg,637,360,C63AMG,64,46,576,289
C63AMG_50.jpg,640,426,C63AMG,20,72,626,365
C63AMG_51.jpg,593,315,C63AMG,51,4,573,303
C63AMG_52.jpg,640,334,C63AMG,7,9,634,326
C63AMG_53.jpg,637,291,C63AMG,26,5,618,281
C63AMG_54.jpg,600,398,C63AMG,30,25,551,375
C63AMG_55.jpg,640,480,C63AMG,22,113,616,361
C63AMG_56.jpg,640,480,C63AMG,19,148,617,340
C63AMG_57.jpg,638,446,C63AMG,83,32,601,422
C63AMG_58.jpg,640,480,C63AMG,48,20,614,435
C63AMG_59.jpg,640,426,C63AMG,21,81,629,376
C63AMG_6.jpg,637,360,C63AMG,2,63,596,353
C63AMG_60.jpg,589,277,C63AMG,83,22,583,277
C63AMG_61.jpg,600,398,C63AMG,22,31,586,361
C63AMG_62.jpg,595,291,C63AMG,18,22,590,227
C63AMG_64.jpg,600,398,C63AMG,49,1,600,349
C63AMG_65.jpg,507,426,C63AMG,7,18,493,399
C63AMG_66.jpg,599,290,C63AMG,5,18,586,247
C63AMG_67.jpg,640,426,C63AMG,16,101,626,361
C63AMG_68.jpg,640,426,C63AMG,15,23,623,398
C63AMG_69.jpg,596,297,C63AMG,10,75,570,296
C63AMG_7.jpg,636,334,C63AMG,62,18,462,233
C63AMG_70.jpg,640,426,C63AMG,21,38,630,411
C63AMG_71.jpg,640,427,C63AMG,6,28,631,376
C63AMG_72.jpg,640,426,C63AMG,13,142,630,346
C63AMG_73.jpg,600,398,C63AMG,23,47,573,363
C63AMG_74.jpg,596,239,C63AMG,13,47,583,234
C63AMG_75.jpg,640,426,C63AMG,13,86,627,351
C63AMG_76.jpg,640,480,C63AMG,23,134,618,350
C63AMG_77.jpg,600,398,C63AMG,21,2,600,378
C63AMG_78.jpg,600,398,C63AMG,32,16,555,388
C63AMG_79.jpg,630,264,C63AMG,11,28,602,243
C63AMG_8.jpg,637,345,C63AMG,26,19,623,228
C63AMG_80.jpg,632,309,C63AMG,31,7,620,289
C63AMG_81.jpg,633,368,C63AMG,25,10,606,345
C63AMG_82.jpg,602,351,C63AMG,11,26,600,335
C63AMG_83.jpg,640,480,C63AMG,28,101,614,381
C63AMG_84.jpg,596,299,C63AMG,11,14,584,265
C63AMG_85.jpg,640,427,C63AMG,4,41,630,376
C63AMG_86.jpg,624,344,C63AMG,15,15,616,323
C63AMG_87.jpg,640,426,C63AMG,86,17,593,396
C63AMG_88.jpg,636,297,C63AMG,6,46,632,262
C63AMG_89.jpg,610,404,C63AMG,33,74,566,379
C63AMG_9.jpg,599,274,C63AMG,13,54,572,253
